BROKERTITLE,TYPE,PRICE,BEDS,BATH,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,PROPERTYM2,BOROUGH,price_outlier,PROPERTYM2_log,price_per_m2
keller williams,house,1175000,3,2,"251 B 140 St, Rockaway Park, NY 11694, USA",40.57372,-73.8577786,209.03175,Queens,False,2.320212256458172,5621.155637839706
garfield leslie j co inc,townhouse,2750000,3,2,"16 Gay St, New York, NY 10014, USA",40.7336687,-74.000518,202.91946300338603,Manhattan,False,2.307323704350202,13552.174637649776
hauseit,house,995000,3,2,"159-03 83rd St, Queens, NY 11414, USA",40.657686,-73.8489131,202.91946300338603,Queens,False,2.307323704350202,4903.423187076919
compass,condo,2000000,3,2,"Liberty Court, 200 Rector Pl #27e, New York, NY 10280, USA",40.7086444,-74.0161953,185.806,Manhattan,False,2.2690597340107908,10763.915051182415
leven real estate head office,townhouse,15000000,8,6,"126 Pierrepont St, Brooklyn, NY 11201, USA",40.6948972,-73.9925741,202.91946300338603,Brooklyn,True,2.307323704350202,73920.95256899878
re/max,house,2800000,4,6,"25 Copperleaf Terrace, Staten Island, NY 10304, USA",40.5861193,-74.1075476,774.160699,Staten Island,False,2.8888311201724637,3616.8201300024916
keller williams,house,2600000,5,4,"214-42 27th Ave, Flushing, NY 11360, USA",40.7780417,-73.7739629,280.938672,Queens,False,2.4486115251759784,9254.688866757368
corcoran,townhouse,3500000,6,6,"51 Hamilton Terrace, New York, NY 10031, USA",40.8229141,-73.9460622,557.418,Manhattan,True,2.7461809887304534,6278.950446523076
corcoran,co op,550000,1,1,"609 Columbus Ave #10j, New York, NY 10024, USA",40.7887084,-73.9700091,202.91946300338603,Manhattan,False,2.307323704350202,2710.434927529955
talk of the town c,house,675000,3,2,"2519 Mill Ave, Brooklyn, NY 11234, USA",40.610206,-73.91065,222.9672,Brooklyn,False,2.3482409800584154,3027.3511081450547
gateway arms corp,house,879000,4,2,"48 Princewood Ave, Staten Island, NY 10309, USA",40.5273247,-74.1983282,115.013914,Staten Island,False,2.060750383030909,7642.5535783435735
keller williams,house,918888,3,2,"30-36 88th St, Flushing, NY 11369, USA",40.760703,-73.880887,202.91946300338603,Queens,False,2.307323704350202,4528.338417614809
compass,townhouse,2400000,4,2,"396A 9th St, Brooklyn, NY 11215, USA",40.6674938,-73.9832146,175.772476,Brooklyn,False,2.2449508704125836,13654.014864079174
jamie connie real estate grp,house,1730000,6,2,"45-12 244th St, Flushing, NY 11362, USA",40.765022,-73.7422005,280.938672,Queens,False,2.4486115251759784,6157.927592111633
sowae corp,multi family home,425000,5,2,"755 Coster St, Bronx, NY 10474, USA",40.8159966,-73.8881001,202.91946300338603,Bronx,False,2.307323704350202,2094.426989454965
east coast realtors inc,house,2500000,5,2,"33-02 Parsons Blvd, Flushing, NY 11354, USA",40.7679673,-73.8246067,134.70935,Queens,False,2.1293977405817843,18558.47422617658
